cik,filingyear,filingdate,reportingdate,rfdtitle
1750,2016,,,
1750,2017,,,
1750,2018,,,
320193,2016,,,
320193,2017,,,
320193,2018,,,
789019,2016,,,
789019,2017,,,
789019,2018,,,
1326801,2016,,,
1326801,2017,,,
1326801,2018,,,
1018724,2016,,,
1018724,2017,,,
1018724,2018,,,
1467858,2016,,,
1467858,2017,,,
1467858,2018,,,
320187,2016,,,
320187,2017,,,
320187,2018,,,
1800,2016,,,
1800,2017,,,
1800,2018,,,
1318605,2016,,,
1318605,2017,,,
1318605,2018,,,
1031296,2016,,,
1031296,2017,,,
1031296,2018,,,
