CIK,Filing Year,Filing Date,Reporting Date,RFDTitle
0000001750,2018,,,We are affected by factors that adversely impact the commercial aviation industry.
0000001750,2018,,,Our existing debt includes restrictive and financial covenants.
0000001750,2018,,,"Our industry is susceptible to product and other liability claims, and claims not adequately covered by insurance may adversely affect our financial condition."
0000001750,2018,,,"We must comply with extensive environmental requirements, and any exposure to environmental liabilities may adversely affect us."
0000001750,2018,,,"If we fail to comply with government procurement laws and regulations, we could lose business and be liable for various penalties or sanctions."
0000001750,2018,,,Success at our airframe maintenance facilities is dependent upon continued outsourcing by the airlines.
0000001750,2018,,,We are subject to significant government regulation and may need to incur significant expenses to comply with new or more stringent governmental regulation.
0000001750,2018,,,We are exposed to risks associated with operating internationally.
0000001750,2018,,,"We are dependent upon continued availability of financing to manage our business and to execute our business strategy, and additional financing may not be available on terms acceptable to us."
0000001750,2018,,,"Our U.S. government contracts may not continue at present sales levels, which may have a material adverse effect on our financial condition and results of operations."
0000001750,2018,,,Our business could be negatively affected by cyber or other security threats or other disruptions.
0000001750,2018,,,"Market values for our aviation products fluctuate and we may be unable to recover our costs incurred on engines, rotable components and other aircraft parts."
0000001750,2018,,,We may need to reduce the carrying value of our assets.
0000001750,2018,,,We may need to make significant capital expenditures to keep pace with technological developments in our industry.
0000001750,2018,,,"If our subcontractors or suppliers fail to perform their contractual obligations, our contract profitability and our ability to win new contracts may be adversely affected."
0000001750,2018,,,"We operate in highly competitive markets, and competitive pressures may adversely affect us."
0000001750,2018,,,Our operations would be adversely affected by a shortage of skilled personnel or work stoppages.
0000001750,2018,,,We use estimates when accounting for long-term contracts and face risks of cost overruns and losses on fixed-price contracts.
0000001750,2018,,,"Acquisitions expose us to risks, including the risk that we may be unable to effectively integrate acquired businesses."
0000001750,2017,,,"We are dependent upon continued availability of financing to manage our business and to execute our business strategy, and additional financing may not be available on terms acceptable to us."
0000001750,2017,,,"Market values for our aviation products fluctuate and we may be unable to recover our costs incurred on engines, rotable components and other aircraft parts."
0000001750,2017,,,We may need to make significant capital expenditures to keep pace with technological developments in our industry.
0000001750,2017,,,We are affected by factors that adversely impact the commercial aviation industry.
0000001750,2017,,,"We operate in highly competitive markets, and competitive pressures may adversely affect us."
0000001750,2017,,,We face risks of cost overruns and losses on fixed-price contracts.
0000001750,2017,,,Our existing debt includes restrictive and financial covenants.
0000001750,2017,,,"Our industry is susceptible to product and other liability claims, and claims not adequately covered by insurance may adversely affect our financial condition."
0000001750,2017,,,Our business could be negatively affected by cyber or other security threats or other disruptions.
0000001750,2017,,,"We must comply with extensive environmental requirements, and any exposure to environmental liabilities may adversely affect us."
0000001750,2017,,,Success at our airframe maintenance facilities is dependent upon continued outsourcing by the airlines.
0000001750,2017,,,We are subject to significant government regulation and may need to incur significant expenses to comply with new or more stringent governmental regulation.
0000001750,2017,,,Our operations would be adversely affected by a shortage of skilled personnel or work stoppages.
0000001750,2017,,,We are exposed to risks associated with operating internationally.
0000001750,2017,,,We may need to reduce the carrying value of our assets.
0000001750,2017,,,"Acquisitions expose us to risks, including the risk that we may be unable to effectively integrate acquired businesses."
0000001750,2017,,,"Our U.S. government contracts may not continue at present sales levels, which may have a material adverse effect on our financial condition and results of operations."
0000001750,2017,,,"If we fail to comply with government procurement laws and regulations, we could lose business and be liable for various penalties or sanctions."
0000001750,2016,,,We are affected by factors that adversely impact the commercial aviation industry.
0000001750,2016,,,Our existing debt includes restrictive and financial covenants.
0000001750,2016,,,"Our industry is susceptible to product and other liability claims, and claims not adequately covered by insurance may adversely affect our financial condition."
0000001750,2016,,,"We must comply with extensive environmental requirements, and any exposure to environmental liabilities may adversely affect us."
0000001750,2016,,,"Market values for our aviation products fluctuate, and we may be unable to re-lease or sell aircraft and engines when their current leases expire."
0000001750,2016,,,"If we fail to comply with government procurement laws and regulations, we could lose business and be liable for various penalties or sanctions."
0000001750,2016,,,A significant portion of our expeditionary airlift revenue is derived from providing expeditionary airlift services in Afghanistan.
0000001750,2016,,,We face risks of cost overruns and losses on fixed-price contracts.
