cik,filingyear,filingdate,reportingdate,rfdtitle
1750,2016,2016-07-13,2016-12-31,NO RISK FACTORS FOUND
1750,2017,2017-07-12,2017-12-31,NO RISK FACTORS FOUND
1750,2018,2018-07-11,2018-12-31,NO RISK FACTORS FOUND
320193,2016,2016-10-26,2016-12-31,NO RISK FACTORS FOUND
320193,2017,2017-11-03,2017-12-31,NO RISK FACTORS FOUND
320193,2018,2018-11-05,2018-12-31,NO RISK FACTORS FOUND
789019,2016,2016-07-28,2016-06-30,NO RISK FACTORS FOUND
789019,2017,2017-08-02,2017-06-30,NO RISK FACTORS FOUND
789019,2018,2018-08-03,2018-06-30,NO RISK FACTORS FOUND
1326801,2016,2016-01-28,2012-12-31,NO RISK FACTORS FOUND
1326801,2017,2017-02-03,2016-12-31,NO RISK FACTORS FOUND
1326801,2018,2018-02-01,2017-12-31,NO RISK FACTORS FOUND
1018724,2016,2016-01-29,2012-12-31,NO RISK FACTORS FOUND
1018724,2017,2017-02-10,2012-12-31,NO RISK FACTORS FOUND
1018724,2018,2018-02-02,2015-12-31,NO RISK FACTORS FOUND
1467858,2016,2016-02-03,2015-12-31,NO RISK FACTORS FOUND
1467858,2017,2017-02-07,2016-12-31,NO RISK FACTORS FOUND
1467858,2018,2018-02-06,2017-12-31,NO RISK FACTORS FOUND
320187,2016,2016-07-21,2010-05-31,NO RISK FACTORS FOUND
320187,2017,2017-07-20,2010-05-31,NO RISK FACTORS FOUND
320187,2018,2018-07-25,2010-05-31,NO RISK FACTORS FOUND
1800,2016,2016-02-19,2016-12-31,NO RISK FACTORS FOUND
1800,2017,2017-02-17,2017-12-31,NO RISK FACTORS FOUND
1800,2018,2018-02-16,2018-12-31,NO RISK FACTORS FOUND
1318605,2016,2016-02-24,2015-12-31,NO RISK FACTORS FOUND
1318605,2017,2017-03-01,2016-12-31,NO RISK FACTORS FOUND
1318605,2018,2018-02-23,2017-12-31,NO RISK FACTORS FOUND
1031296,2016,2016-02-16,2013-12-31,NO RISK FACTORS FOUND
1031296,2017,2017-02-21,2016-12-31,NO RISK FACTORS FOUND
1031296,2018,2018-02-20,2017-12-31,NO RISK FACTORS FOUND
