cik,filingyear,filingdate,reportingdate,rfdtitle
1750,2016,2016-07-13,2016-12-31,UNITED STATES SECURITIES AND EXCHANGE COMMISSION
1750,2016,2016-07-13,2016-12-31,"WASHINGTON, D.C. 20549"
1750,2016,2016-07-13,2016-12-31,Annual Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934
1750,2016,2016-07-13,2016-12-31,"For the fiscal year ended May 31, 2016"
1750,2016,2016-07-13,2016-12-31,Transition Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934
1750,2016,2016-07-13,2016-12-31,Annual Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934
1750,2016,2016-07-13,2016-12-31,"For the fiscal year ended May 31, 2016"
1750,2016,2016-07-13,2016-12-31,Transition Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934
1750,2016,2016-07-13,2016-12-31,Commission file number 1-6263
1750,2016,2016-07-13,2016-12-31,36-2334820
1750,2016,2016-07-13,2016-12-31,36-2334820
1750,2016,2016-07-13,2016-12-31,"One AAR Place, 1100 N. Wood Dale Road, Wood Dale, Illinois 60191"
1750,2016,2016-07-13,2016-12-31,(630) 227-2000
1750,2016,2016-07-13,2016-12-31,"Common Stock, $1.00 par value"
1750,2016,2016-07-13,2016-12-31,New York Stock Exchange Chicago Stock Exchange
1750,2016,2016-07-13,2016-12-31,Common Stock Purchase Rights
1750,2016,2016-07-13,2016-12-31,New York Stock Exchange Chicago Stock Exchange
1750,2016,2016-07-13,2016-12-31,"Common Stock, $1.00 par value"
1750,2016,2016-07-13,2016-12-31,New York Stock Exchange Chicago Stock Exchange
1750,2016,2016-07-13,2016-12-31,Common Stock Purchase Rights
1750,2016,2016-07-13,2016-12-31,New York Stock Exchange Chicago Stock Exchange
1750,2016,2016-07-13,2016-12-31,Documents Incorporated by Reference
1750,2016,2016-07-13,2016-12-31,TABLE OF CONTENTS
1750,2016,2016-07-13,2016-12-31,ITEM 1.    BUSINESS  (Dollars in millions)
1750,2016,2016-07-13,2016-12-31,Business Segments
1750,2016,2016-07-13,2016-12-31,Raw Materials
1750,2016,2016-07-13,2016-12-31,Terms of Sale
1750,2016,2016-07-13,2016-12-31,Sales to Government and Defense Customers
1750,2016,2016-07-13,2016-12-31,Government Regulation and Certificates
1750,2016,2016-07-13,2016-12-31,Competition
1750,2016,2016-07-13,2016-12-31,Available Information
1750,2016,2016-07-13,2016-12-31,ITEM 1A.    RISK FACTORS
1750,2016,2016-07-13,2016-12-31,We are affected by factors that adversely impact the commercial aviation industry.
1750,2016,2016-07-13,2016-12-31,"Our U.S. government contracts may not continue at present sales levels, which may have a material adverse effect on our financial condition and results of operations."
1750,2016,2016-07-13,2016-12-31,We face risks of cost overruns and losses on fixed-price contracts.
1750,2016,2016-07-13,2016-12-31,Success at our airframe maintenance facilities is dependent upon continued outsourcing by the airlines.
1750,2016,2016-07-13,2016-12-31,"We operate in highly competitive markets, and competitive pressures may adversely affect us."
1750,2016,2016-07-13,2016-12-31,We are subject to significant government regulation and may need to incur significant expenses to comply with new or more stringent governmental regulation.
1750,2016,2016-07-13,2016-12-31,"If we fail to comply with government procurement laws and regulations, we could lose business and be liable for various penalties or sanctions."
1750,2016,2016-07-13,2016-12-31,A significant portion of our expeditionary airlift revenue is derived from providing expeditionary airlift services in Afghanistan.
1750,2016,2016-07-13,2016-12-31,We are exposed to risks associated with operating internationally.
1750,2016,2016-07-13,2016-12-31,"Acquisitions expose us to risks, including the risk that we may be unable to effectively integrate acquired businesses."
1750,2016,2016-07-13,2016-12-31,"Market values for our aviation products fluctuate, and we may be unable to re-lease or sell aircraft and engines when their current leases expire."
1750,2016,2016-07-13,2016-12-31,We may need to reduce the carrying value of our assets.
1750,2016,2016-07-13,2016-12-31,"We are dependent upon continued availability of financing to manage our business and to execute our business strategy, and additional financing may not be available on terms acceptable to us."
1750,2016,2016-07-13,2016-12-31,Our existing debt includes restrictive and financial covenants.
1750,2016,2016-07-13,2016-12-31,"Our industry is susceptible to product and other liability claims, and claims not adequately covered by insurance may adversely affect our financial condition."
1750,2016,2016-07-13,2016-12-31,Our business could be negatively affected by cyber or other security threats or other disruptions.
1750,2016,2016-07-13,2016-12-31,"We must comply with extensive environmental requirements, and any exposure to environmental liabilities may adversely affect us."
1750,2016,2016-07-13,2016-12-31,We may need to make significant capital expenditures to keep pace with technological developments in our industry.
